Type ;Value ;;;;
Stock;123;;;;
Exercise ;123;;;;
Rate ;0,02;;;;
Sigma;0,33;;;;
Time ;0,25;;;;
;;;;;
;;;;;
Integer ; Bin_Call_Eur (BM);Black Scholes (BSM) ;Leisen Reimer (LR) ;Absolute Errors (BM/BSM) ;Absolute Errors (LR / BSM) 
1;10,406002;8,377618296;;2,028383707;
2;7,609122642;8,377618296;8,346837467;0,768495655;0,030780829
3;9,059567291;8,377618296;8,346837467;0,681948994;0,030780829
4;8,004478823;8,377618296;8,364946903;0,373139473;0,012671393
5;8,782912191;8,377618296;8,364946903;0,405293895;0,012671393
6;8,141711321;8,377618296;8,370712425;0,235906975;0,006905871
7;8,664897176;8,377618296;8,370712425;0,28727888;0,006905871
8;8,209955597;8,377618296;8,373272624;0,167662699;0,004345672
9;8,599641047;8,377618296;8,373272624;0,222022751;0,004345672
10;8,250318767;8,377618296;8,374631828;0,127299529;0,002986468
11;8,558254942;8,377618296;8,374631828;0,180636646;0,002986468
12;8,276753718;8,377618296;8,37543962;0,100864578;0,002178677
13;8,529692514;8,377618296;8,37543962;0,152074218;0,002178677
14;8,295299368;8,377618296;8,375958729;0,082318928;0,001659567
15;8,508778367;8,377618296;8,375958729;0,13116007;0,001659567
16;8,30897802;8,377618296;8,376312066;0,068640276;0,00130623
17;8,492822311;8,377618296;8,376312066;0,115204015;0,00130623
18;8,319404731;8,377618296;8,376563422;0,058213565;0,001054874
19;8,480236816;8,377618296;8,376563422;0,10261852;0,001054874
20;8,327629951;8,377618296;8,376748597;0,049988345;0,000869699
21;8,470057774;8,377618296;8,376748597;0,092439477;0,000869699
22;8,33423157;8,377618296;8,376888949;0,043386726;0,000729347
23;8,4616589;8,377618296;8,376888949;0,084040604;0,000729347
24;8,33962522;8,377618296;8,376997864;0,037993076;0,000620432
25;8,454608441;8,377618296;8,376997864;0,076990145;0,000620432
26;8,344136374;8,377618296;8,377084079;0,033481922;0,000534218
27;8,448599895;8,377618296;8,377084079;0,070981599;0,000534218
28;8,347924454;8,377618296;8,377153491;0,029693842;0,000464806
29;8,443431139;8,377618296;8,377153491;0,065812843;0,000464806
30;8,351164059;8,377618296;8,3772102;0,026454237;0,000408096
31;8,438924729;8,377618296;8,3772102;0,061306433;0,000408096
